station_code, seoulmetro_code, external_code, station_name(kor),lat,lng
0,227,227,낙성대,37.476930,126.963693
1,228,228,서울대입구,37.481247,126.952739
2,214,214,강변,37.535095,127.094681
3,1729,P151,당정,37.344285,126.948345
4,217,217,잠실새내,37.511687,127.086162
5,1809,156,주안,37.464941,126.679923
6,218,218,종합운동장,37.510997,127.073642
7,1955,312,마두,37.659477,126.773359
8,2543,542,답십리,37.566747,127.052704
9,219,219,삼성,37.508844,127.063160
10,3128,I128,선학,37.426684,126.698863
11,220,220,선릉,37.504503,127.049008
12,221,221,역삼,37.500622,127.036456
13,222,222,강남,37.497175,127.027926
14,223,223,교대,37.493415,127.014080
15,225,225,방배,37.481426,126.997596
16,226,226,사당,37.476530,126.981685
17,229,229,봉천,37.482362,126.941892
18,230,230,신림,37.484201,126.929715
19,231,231,신대방,37.487462,126.913149
20,232,232,구로디지털단지,37.485266,126.901401
21,234,234,신도림,37.508725,126.891295
22,235,235,문래,37.517933,126.894760
23,200,234-4,까치산,37.531768,126.846683
24,201,201,시청,37.564718,126.977108
25,202,202,을지로입구,37.566014,126.982618
26,203,203,을지로3가,37.566295,126.991910
27,204,204,을지로4가,37.566941,126.998079
28,205,205,동대문역사문화공원,37.565138,127.007896
29,206,206,신당,37.565972,127.017820
30,209,209,한양대,37.555273,127.043655
31,210,210,뚝섬,37.547184,127.047367
32,211,211,성수,37.544581,127.055961
33,212,212,건대입구,37.540693,127.070230
34,213,213,구의,37.537077,127.085916
35,215,215,잠실나루,37.520733,127.103790
36,216,216,잠실,37.513950,127.102234
37,236,236,영등포구청,37.524970,126.895951
38,237,237,당산,37.534380,126.902281
39,238,238,합정,37.549463,126.913739
40,239,239,홍대입구,37.557192,126.925381
41,240,240,신촌,37.555134,126.936893
42,241,241,이대,37.556733,126.946013
43,242,242,아현,37.557345,126.956141
44,243,243,충정로,37.559973,126.963672
45,244,211-1,용답,37.561904,127.050899
46,245,211-2,신답,37.570040,127.046481
47,249,234-3,신정네거리,37.520074,126.852912
48,309,319,지축,37.648048,126.913951
49,310,320,구파발,37.636763,126.918821
50,311,321,연신내,37.619001,126.921008
51,312,322,불광,37.610469,126.929887
52,313,323,녹번,37.600927,126.935756
53,314,324,홍제,37.589066,126.943736
54,315,325,무악재,37.582299,126.950291
55,316,326,독립문,37.574571,126.957748
56,317,327,경복궁,37.575762,126.973530
57,318,328,안국,37.576477,126.985443
58,319,329,종로3가,37.571607,126.991806
59,320,330,을지로3가,37.566295,126.991910
60,322,332,동대입구,37.559052,127.005602
61,323,333,약수,37.554340,127.010655
62,324,334,금호,37.548034,127.015872
63,325,335,옥수,37.540685,127.017965
64,326,336,압구정,37.527072,127.028461
65,327,337,신사,37.516334,127.020114
66,328,338,잠원,37.512759,127.011220
67,329,339,고속터미널,37.504810,127.004943
68,330,340,교대,37.493415,127.014080
69,331,341,남부터미널,37.485013,127.016189
70,332,342,양재,37.484147,127.034631
71,333,343,매봉,37.486947,127.046769
72,334,344,도곡,37.490858,127.055381
73,335,345,대치,37.494612,127.063642
74,336,346,학여울,37.496663,127.070594
75,337,347,대청,37.493514,127.079532
76,338,348,일원,37.483681,127.084390
77,339,349,수서,37.487371,127.101880
78,340,350,가락시장,37.492522,127.118234
79,341,351,경찰병원,37.495918,127.124540
80,342,352,오금,37.502162,127.128111
81,409,409,당고개,37.670272,127.079066
82,410,410,상계,37.660878,127.073572
83,411,411,노원,37.655128,127.061368
84,412,412,창동,37.653166,127.047731
85,413,413,쌍문,37.648627,127.034709
86,414,414,수유,37.638052,127.025732
87,415,415,미아,37.626670,127.025983
88,416,416,미아사거리,37.613292,127.030053
89,417,417,길음,37.603407,127.025053
90,418,418,성신여대입구,37.592624,127.016403
91,419,419,한성대입구,37.588458,127.006221
92,420,420,혜화,37.582336,127.001844
93,421,421,동대문,37.571420,127.009745
